Company,weighted_score,l_score,w_score
AL DAHRA EUROPE S.R.L.,0.09,0.0,0.31
ENGEL ITALIA SRL,0.09,0.0,0.31
GOOGLE ITALY S.R.L.,0.09,0.0,0.31
PLAX S.P.A. **,0.09,0.0,0.31
SYNGENTA ITALIA S.P.A.,0.09,0.0,0.31
I.V.M. S.P.A.,0.09,0.0,0.31
UPONOR S.R.L.,0.09,0.0,0.3
UNICOAL SPA,0.09,0.0,0.3
BISCOTTI GULLON S.R.L.,0.09,0.0,0.3
AE.CAS. SRL,0.09,0.0,0.3
CHATEAUFORM ITALIA S.R.L.,0.09,0.0,0.3
AUTONOVARA S.R.L.,0.09,0.0,0.3
BERLIN PACKAGING ITALY S.P.A.,0.09,0.0,0.3
GTE SRL,0.09,0.0,0.3
STELLA SRL,0.09,0.0,0.3
FORTINET SECURITY ITALY S.R.L.,0.09,0.0,0.3
PANZERI CARLO S.R.L.,0.09,0.0,0.3
LEGNANO TEKNOELECTRIC COMPANY SPA,0.09,0.0,0.3
BOCCOLINI S.R.L.,0.09,0.0,0.3
KOCH-GLITSCH ITALIA S.R.L.,0.09,0.0,0.3
MAKINO S.R.L.,0.09,0.0,0.3
MAER ITALIA SOCIETA' A RESPONSABILITA' LIMITATA,0.09,0.0,0.3
RESSTENDE S.R.L.,0.09,0.0,0.3
TAMINI TRASFORMATORI S.R.L.,0.09,0.0,0.3
GRUPPO GIMOKA S.P.A.,0.09,0.0,0.29
S.I.D.EM. SPA,0.09,0.0,0.29
TECNOGARDEN SERVICE SRL,0.09,0.0,0.29
AEROSPACE MATERIALS MANAGEMENT S.R.L. IN FORMA ABBREVIATA AMM S.R.L.,0.09,0.0,0.29
AZELIS ITALIA S.R.L.,0.09,0.0,0.29
GN AUDIO ITALY S.R.L.,0.09,0.0,0.29
MONTRASIO ITALIA S.R.L.,0.09,0.0,0.29
NUOVA ANGELO TURATI S.R.L.,0.09,0.0,0.29
JOHN CRANE ITALIA S.P.A.,0.09,0.0,0.29
CIVE SRL,0.09,0.0,0.29
COLOMBO MICHELE E FIGLI SRL,0.09,0.0,0.29
ARDEMAGNI S.P.A.,0.09,0.0,0.29
L'ISOLANTE K-FLEX SOCIETA' PER AZIONI,0.09,0.0,0.29
ARTECA S.P.A.,0.08,0.0,0.28
TOSHIBA GLOBAL COMMERCE SOLUTIONS (ITALY) S.R.L.,0.08,0.0,0.28
MOELLHAUSEN SPA,0.08,0.0,0.28
CARTA STAMPA S.R.L.,0.08,0.0,0.28
MESSA T. S.P.A.,0.08,0.0,0.28
A.C.E. SRL,0.08,0.0,0.28
TEA-CO TECNOLOGIE ELETTRICHE APPLICATE - CONCOREZZO S.P.A.,0.08,0.0,0.28
TESSITURA ORESTE MARIANI S.P.A.,0.08,0.0,0.28
SMITHS DETECTION ITALIA S.R.L.,0.08,0.0,0.28
BEA GESTIONI SPA,0.08,0.0,0.28
SANYANG ITALIA S.R.L.,0.08,0.0,0.28
AHSI S.P.A.,0.08,0.0,0.28
ECSA ITALIA S.R.L.,0.08,0.0,0.28
HAWORTH ITALY HOLDING S.R.L.,0.08,0.0,0.27
HUMANITAS MIRASOLE S.P.A.,0.08,0.0,0.27
IMPRECOM S.R.L.,0.08,0.0,0.27
EURO MOTORS ITALIA SPA EMI,0.08,0.0,0.27
CAVE ROCCA S.R.L.,0.08,0.0,0.27
TELEFLEX MEDICAL S.R.L.,0.08,0.0,0.27
SERVIZI ENERGIA ITALIA S.P.A.,0.08,0.0,0.27
DAYTONA S.R.L.,0.08,0.0,0.27
FABAS-LUCE SPA,0.08,0.0,0.27
GIOMA VARO SRL,0.08,0.0,0.27
GITRE S.R.L.,0.08,0.0,0.27
AB MEDICA S.P.A.,0.08,0.0,0.27
SAFETEC S.R.L.,0.08,0.0,0.27
BONOMI PATTINI GIUSEPPE E FIGLI S.P.A.,0.08,0.0,0.27
ESSELUNGA SPA,0.08,0.0,0.26
S.I.P. SOCIETA' ITALIANA PROTOTIPI S.R.L.,0.08,0.0,0.26
DIAMETRO SRL,0.08,0.0,0.26
FAMOSA ITALIA S.R.L.,0.08,0.0,0.26
EUROMOTORI S.R.L.,0.08,0.0,0.26
O.E.G. OFFICINA ELETTROMECCANICA GOTTIFREDI S.R.L.,0.08,0.0,0.26
G.P. CAR S.R.L.,0.08,0.0,0.26
AL.CI. S.R.L.,0.08,0.0,0.26
THE SWATCH GROUP (ITALIA) S.P.A.,0.08,0.0,0.26
GIUSSANI GROUP SRL,0.07,0.0,0.25
GEN AGRI S.R.L.,0.07,0.0,0.25
QUATTROBI S.R.L.,0.07,0.0,0.25
ALLIANCE MEDICAL ITALIA S.R.L.,0.07,0.0,0.25
KVADRAT S.P.A.,0.07,0.0,0.25
WAYNE FUELING SYSTEMS ITALIA S.R.L.,0.07,0.0,0.25
START ITALIANA S.R.L.,0.07,0.0,0.25
DARTON S.R.L.,0.07,0.0,0.25
MECAIR SRL,0.07,0.0,0.25
MODAR S.P.A.,0.07,0.0,0.25
MEREGALLI GIUSEPPE S.P.A.,0.07,0.0,0.25
ROCHE SOCIETA' PER AZIONI,0.07,0.0,0.25
MATEST S.P.A.,0.07,0.0,0.24
ISA S.P.A.,0.07,0.0,0.24
TECNAIR S.P.A.,0.07,0.0,0.24
ETJCA S.P.A.,0.07,0.0,0.24
VICSAM SISTEMI S.R.L.,0.07,0.0,0.24
"PROGETTO A. SOCIETA' COOPERATIVA SOCIALE VALIDAMENTE SIGLABILE ANCHE
COME PROGETTO A. S.C.S.",0.07,0.0,0.24
UNIMEC SPA,0.07,0.0,0.24
JACQUET NOVA SRL,0.07,0.0,0.24
ELECTRALINE 3PMARK SPA **,0.07,0.0,0.24
P.M. INTERNATIONAL ITALIA S.R.L.,0.07,0.0,0.24
DOC GENERICI S.R.L. O IN FORMA ABBREVIATA DOC S.R.L.,0.07,0.0,0.24
SACS TECNORIB S.P.A.,0.07,0.0,0.24
PASSONI PAOLO E FIGLI S.R.L.,0.07,0.0,0.24
CRI ENERBILITY S.R.L.,0.07,0.0,0.24
BESANA APPLICAZIONI PLASTICHE SRL,0.07,0.0,0.24
ITALFARMACO S.P.A.,0.07,0.0,0.24
GIELLEPI S.P.A.,0.07,0.0,0.24
GRUPPO MILLEPIANI S.P.A.,0.07,0.0,0.24
BABCOCK WANSON ITALIANA S.P.A.,0.07,0.0,0.24
GF MACHINING SOLUTIONS SPA,0.07,0.0,0.24
FOMAS S.P.A.,0.07,0.0,0.23
O. ELMI SRL,0.07,0.0,0.23
ENGICO SRL,0.07,0.0,0.23
PAOLA LENTI S.R.L.,0.07,0.0,0.23
ORTOFIN SRL,0.07,0.0,0.23
ALCON ITALIA S.P.A.,0.07,0.0,0.23
MANCINI ENTERPRISE SRL,0.07,0.0,0.23
CGT EDILIZIA S.P.A.,0.07,0.0,0.23
EUROCHEM AGRO S.P.A.,0.07,0.0,0.23
SAIVER S.R.L.,0.07,0.0,0.23
LUTECH S.P.A.,0.07,0.0,0.23
DOMETIC ITALY MARINE S.R.L.,0.07,0.0,0.23
TRAGNI S.R.L.,0.06,0.0,0.22
ASTALEGALE.NET S.P.A.,0.06,0.0,0.22
COMDATA S.P.A.,0.06,0.0,0.22
KINGMEDA S.R.L.,0.06,0.0,0.22
VELP SCIENTIFICA S.R.L.,0.06,0.0,0.22
KING GESTIONI ALBERGHIERE S.P.A.,0.06,0.0,0.22
KOFLER SRL,0.06,0.0,0.22
ABC SISTEM S.R.L.,0.06,0.0,0.22
DE WAVE S.R.L.,0.06,0.0,0.22
SMC ITALIA SPA,0.06,0.0,0.22
DELTA 2000 S.R.L.,0.06,0.0,0.22
PEPPERL + FUCHS FA ITALIA S.R.L.,0.06,0.0,0.22
AROMATAGROUP S.R.L.,0.06,0.0,0.22
MACPLAST S.P.A.,0.06,0.0,0.22
HERAEUS S.P.A.,0.06,0.0,0.22
SAMP S.P.A.,0.06,0.0,0.22
CHEMI - S.P.A.,0.06,0.0,0.22
MURRELEKTRONIK SRL,0.06,0.0,0.22
CAVAUTO S.R.L.,0.06,0.0,0.22
PROMIGROUP SRL,0.06,0.0,0.21
DANA FLUID POWER DISTRIBUTION S.R.L.,0.06,0.0,0.21
ALIMENTARI RADICE S.R.L.,0.06,0.0,0.21
F.LLI NOVARA S.R.L.,0.06,0.0,0.21
PARIS TEXAS S.R.L.,0.06,0.0,0.21
KOLOR + SERVICE S.R.L.,0.06,0.0,0.21
FORGE NICROMO S.P.A.,0.06,0.0,0.21
ECOGENIA S.R.L.,0.06,0.0,0.21
HOME FRAGRANCE ITALIA S.R.L.,0.06,0.0,0.21
SCATOLIFICIO ANGELO GARIBOLDI SRL,0.06,0.0,0.21
FLOU SPA,0.06,0.0,0.21
COENERGIA S.R.L.,0.06,0.0,0.21
MECONDOR- S.P.A.,0.06,0.0,0.21
WORKMEC S.P.A.,0.06,0.0,0.19
FALDUTO F.LLI S.R.L.,0.06,0.0,0.19
C.I.M.A. COMPAGNIA ITALIANA MOLLE ACCIAIO S.P.A.,0.06,0.0,0.19
TUBI THOR S.P.A.,0.06,0.0,0.19
ALUTRADE S.R.L.,0.06,0.0,0.19
"""LINDE MATERIAL HANDLING ITALIA S.P.A.""",0.06,0.0,0.19
CIPIEMME SRL,0.06,0.0,0.19
CASELLA SPA,0.06,0.0,0.19
EXHIBO S.P.A.,0.06,0.0,0.19
MINOTTI SPA,0.06,0.0,0.19
POWER LINE S.R.L.,0.06,0.0,0.19
MILANOFIORI SVILUPPO S.R.L.,0.06,0.0,0.19
SPOTTI S.R.L.,0.06,0.0,0.19
RENTAL PLUS SRL,0.06,0.0,0.19
TEKNOWOOL LOMBARDIA S.R.L.,0.06,0.0,0.19
ALFAMATION S.P.A.,0.06,0.0,0.19
BRIANZATENDE S.R.L.,0.06,0.0,0.18
BUSCH ITALIA S.R.L.,0.06,0.0,0.18
AMBIENTE ENERGIA BRIANZA SOCIETA' PER AZIONI,0.06,0.0,0.18
FRIESLANDCAMPINA ITALY S.R.L.,0.06,0.0,0.18
AMILON SRL,0.06,0.0,0.18
ARES S.R.L.,0.06,0.0,0.18
INTERNATIONAL POWER COMPONENTS S.R.L.,0.06,0.0,0.18
HENNECKE-OMS S.P.A.,0.06,0.0,0.18
I.R.A. ISTITUTO RICERCHE APPLICATE S.P.A.,0.06,0.0,0.18
EL.GA SPA,0.06,0.0,0.18
ALBRICCI S.R.L.,0.06,0.0,0.18
DP VISION S.R.L.,0.05,0.0,0.17
BICASA S.R.L.,0.05,0.0,0.17
VECO S.P.A.,0.05,0.0,0.17
QUANTUMCORRUGATED S.R.L.,0.05,0.0,0.17
COMMSCOPE ITALY S.R.L.,0.05,0.0,0.17
SPECIALTRASFO S.P.A.,0.05,0.0,0.17
EUROPERF S.R.L.,0.05,0.0,0.17
ROCHE DIAGNOSTICS S.P.A. *,0.05,0.0,0.17
BERETTA ALFREDO S.R.L.,0.05,0.0,0.17
FURIA CUSCINI S.P.A.,0.05,0.0,0.17
I.D.I. EVOLUTION S.R.L.,0.05,0.0,0.17
SIMPEC S.R.L. SOCIETA' IMPIANTI ECOLOGICI,0.05,0.0,0.17
NPI ITALIA S.R.L.,0.05,0.0,0.17
DANCO S.P.A.,0.05,0.0,0.17
RISTOPIU' LOMBARDIA SPA,0.05,0.0,0.17
HILTI ITALIA S.P.A.,0.05,0.0,0.17
XIAOMI TECHNOLOGY ITALY S.R.L.,0.05,0.0,0.16
STONEX S.R.L.,0.05,0.0,0.16
SAFETY S.P.A.,0.05,0.0,0.16
EXYTE ITALY S.R.L.,0.05,0.0,0.16
FIDIM SRL,0.05,0.0,0.16
ANGELO ROCCA & FIGLI S.R.L.,0.05,0.0,0.16
OR.S.A. SOCIETA' COOPERATIVA SOCIALE,0.05,0.0,0.16
AMBU S.R.L.,0.05,0.0,0.16
EUROPRODOTTI S.P.A.,0.05,0.0,0.16
DMG MORI ITALIA S.R.L. IN BREVE DMI S.R.L.,0.05,0.0,0.16
FARMA.CO.M. S.P.A. FARMACIE COMUNALI MONZA S.P.A.,0.05,0.0,0.16
COMIECO CONSORZIO NAZIONALE PER IL RECUPERO ED IL RICICLO DEGLI I MBALLAGGI A BASE CELLULOSICA,0.05,0.0,0.16
COVI S.R.L.,0.05,0.0,0.16
COMPO ITALIA S.R.L.,0.05,0.0,0.16
WATTS INDUSTRIES ITALIA S.R.L.,0.05,0.0,0.16
CRIPPACAMPEGGIO S.R.L.,0.05,0.0,0.16
"CIERREFFE LOMBARDIA S.R.L. SIGLABILE C.R.F. LOMBARDIA S.R.L. O CRF LOMBARDIA
S.R.L.",0.05,0.0,0.15
COEL DISTRIBUTION SRL,0.05,0.0,0.15
GSR TECHNOLOGY ITALY S.R.L.,0.05,0.0,0.15
DUERR DENTAL ITALIA S.R.L.,0.05,0.0,0.15
GRUPPO DESA S.P.A.,0.05,0.0,0.15
BAVELLONI S.P.A.,0.05,0.0,0.15
OMG S.R.L.,0.05,0.0,0.15
HUMANGEST S.P.A.,0.05,0.0,0.15
WERKCAM S.R.L.,0.05,0.0,0.15
ELMAG S.P.A.,0.05,0.0,0.15
KOS CARE S.R.L.,0.05,0.0,0.15
EMIFLEX S.P.A.,0.05,0.0,0.15
TEAFLEX S.P.A.,0.04,0.0,0.14
BOLDROCCHI SRL,0.04,0.0,0.14
SIPCAM OXON S.P.A.,0.04,0.0,0.14
ECO.SMALT S.R.L.,0.04,0.0,0.14
CAMBIELLI S.P.A.,0.04,0.0,0.14
S.I.L.F.A. SOCIETA' IMBALLAGGI LATTA FUSTI ACCIAIO - S.R.L.,0.04,0.0,0.14
CONDUCTIX- WAMPFLER S.R.L.,0.04,0.0,0.14
SPRINT ENERGY SRL,0.04,0.0,0.14
OPTOPRIM S.R.L.,0.04,0.0,0.14
EMME TECHNOLOGY S.R.L.,0.04,0.0,0.13
RALCO S.R.L.,0.04,0.0,0.13
PARA' S.P.A.,0.04,0.0,0.13
VANTA S.R.L.,0.04,0.0,0.13
ELETTRONICA ASTER S.P.A.,0.04,0.0,0.13
IMPRESA EDILE STRADALE ARTIFONI S.P.A.,0.04,0.0,0.13
REYS S.P.A,0.04,0.0,0.13
VIMERCATI SRL,0.04,0.0,0.12
TERMOMARKET S.R.L.,0.04,0.0,0.12
ZERO+4 S.R.L.,0.04,0.0,0.12
DIOTTI.COM S.R.L.,0.04,0.0,0.12
RESTAURA S.R.L.,0.04,0.0,0.12
G2 PORTE E FINESTRE S.R.L.,0.04,0.0,0.12
B&B ITALIA S.P.A.,0.04,0.0,0.12
IMS S.P.A.,0.04,0.0,0.12
AUTOGHINZANI BERGAMO SRL,0.04,0.0,0.12
DI.R.EL. SRL,0.04,0.0,0.12
NASTROFER S.P.A.,0.04,0.0,0.12
CORIGES SRL,0.04,0.0,0.12
REMARKET S.P.A.,0.04,0.0,0.12
BARRA COSTRUZIONI S.R.L.,0.04,0.0,0.12
CESAPLAST SPA,0.04,0.0,0.12
SUISSE NUTRAINGREDIENTS S.R.L.,0.04,0.0,0.12
A.M.INSTRUMENTS SRL,0.03,0.0,0.11
ICROM S.R.L.,0.03,0.0,0.11
TECNOROBOT S.R.L.,0.03,0.0,0.11
COOP CONSORZIO NORD OVEST SOC. CONSORTILE A R.L.,0.03,0.0,0.11
LARA COMPENSATI S.R.L.,0.03,0.0,0.11
UNES MAXI S.P.A.,0.03,0.0,0.11
NORD COMPENSATI S.R.L.,0.03,0.0,0.1
DOLCIARIA NEGRI SRL,0.03,0.0,0.1
GRUPPO ALFAGOMMA (1),0.03,0.0,0.1
EPIS & C. S.R.L.,0.03,0.0,0.1
SYSTEMAIR ITALY S.R.L.,0.03,0.0,0.1
ELCAM -S.R.L.,0.03,0.0,0.1
BIG S.R.L.,0.03,0.0,0.1
T.S.A. S.R.L.,0.03,0.0,0.09
AMBROGIO MORO S.P.A. **,0.03,0.0,0.09
FINE FOOD GROUP S.P.A.,0.03,0.0,0.09
MONGUZZI S.R.L.,0.03,0.0,0.09
EG S.P.A.,0.03,0.0,0.09
FILO BIANCO S.R.L.,0.03,0.0,0.09
EDILVIT SRL,0.03,0.0,0.09
COMBUSTIBILI CEREDA S.R.L.,0.03,0.0,0.09
KSA ITALIA SRL,0.03,0.0,0.09
S.I.M.B.A.-S.P.A. COL SOTTOTITOLO SOCIETA' ITALIANA IMPORTAZIONE BANANE E COMMERCIO PRODOTTI OLTREMARE,0.03,0.0,0.09
EFFEBIQUATTRO S.P.A.,0.02,0.0,0.08
RIVOLTA CARMIGNANI S.P.A.,0.02,0.0,0.08
I.M.V. PRESSE S.R.L.,0.02,0.0,0.08
ACINQUE S.P.A.,0.02,0.0,0.08
PELBO S.P.A.,0.02,0.0,0.08
PRYSMIAN CAVI E SISTEMI ITALIA S.R.L.,0.02,0.0,0.08
PRYSMIAN POWERLINK S.R.L.,0.02,0.0,0.08
TERNO SCORREVOLI S.P.A.,0.02,0.0,0.08
RIPRESS S.R.L.,0.02,0.0,0.08
INSIGHT TECHNOLOGY SOLUTIONS S.R.L.,0.02,0.0,0.08
G.M. INTERNATIONAL S.R.L.,0.02,0.0,0.06
INTERNI S.P.A.,0.02,0.0,0.06
COPRIMA S.R.L.,0.02,0.0,0.06
PEPPERL + FUCHS S.R.L.,0.02,0.0,0.06
SACMA LIMBIATE S.P.A.,0.02,0.0,0.06
COOP LOMBARDIA SOCIETA' COOPERATIVA,0.02,0.0,0.06
SG S.P.A.,0.02,0.0,0.06
OMP MECHTRON S.R.L.,0.02,0.0,0.06
IPEA S.R.L.,0.02,0.0,0.06
RESINE ISOLANTI O.DIENA S.R.L,0.02,0.0,0.05
VERZOLLA S.R.L.,0.02,0.0,0.05
B.S.M. SRL,0.02,0.0,0.05
F.LLI VILLA S.R.L.,0.02,0.0,0.05
INTERSTEEL SRL,0.02,0.0,0.05
H.T. HIGH TECHNOLOGY S.R.L.,0.02,0.0,0.05
TECNOLAB S.R.L.,0.02,0.0,0.05
HYDAC S.P.A,0.02,0.0,0.05
ADITINET CONSULTING SPA,0.02,0.0,0.05
CROSS POINT - S.R.L.,0.02,0.0,0.05
ECO STORE SRL,0.02,0.0,0.05
JOHN ZINK HAMWORTHY COMBUSTION S.R.L.,0.02,0.0,0.05
LONGHI S.P.A.,0.02,0.0,0.05
I.P.A.S. INDUSTRIA PRODUZIONI ALIMENTARI E SEMILAVORATI S.R.L.,0.01,0.0,0.04
G. VILLA S.R.L.,0.01,0.0,0.04
GRICAR CHEMICAL S.R.L.,0.01,0.0,0.04
SERVOTECNICA S.P.A.,0.01,0.0,0.04
PERI S.R.L.,0.01,0.0,0.04
INOXIHP S.R.L.,0.01,0.0,0.04
KOLLMORGEN S.R.L.,0.01,0.0,0.04
AVICEL S.R.L.,0.01,0.0,0.04
GAIA S.R.L.,0.01,0.0,0.03
THE LEVEL GROUP S.R.L.,0.01,0.0,0.03
MOONS' INDUSTRIES EUROPE HEAD QUARTER SRL,0.01,0.0,0.03
DELP ITALIA SRL,0.01,0.0,0.03
MODITECH S.R.L.,0.01,0.0,0.03
DONATI S.R.L.,0.01,0.0,0.03
HAFELE ITALIA S.R.L.,0.01,0.0,0.03
VALLMAR S.R.L.,0.01,0.0,0.02
OPIS S.R.L. (1) *,0.0,0.0,0.01
SYSTEMA S.R.L.,0.0,0.0,0.01
AGORA' NETWORK SOCIETA' CONSORTILE A R.L.,0.0,0.0,0.0
APTACA S.P.A.,0.0,0.0,0.0
CAR STUDIO S.R.L.,0.0,0.0,0.0
BRIVIO & VIGANO' LOGISTICS S.R.L.,0.0,0.0,0.0
AZ PNEUMATICA SRL,0.0,0.0,0.0
ABB E-MOBILITY S.P.A.,0.0,0.0,0.0
BRUNO PRESEZZI S.P.A.,0.0,0.0,0.0
CAL S.R.L.,0.0,0.0,0.0
CANALPLAST S.P.A.,0.0,0.0,0.0
TECNOFIRMA SPA,0.0,0.0,0.0
CAUVIN METALS S.R.L.,0.0,0.0,0.0
MAGIC M.P. - S.P.A.,0.0,0.0,0.0
SELI MANUTENZIONI GENERALI S.R.L.,0.0,0.0,0.0
R. & C. TERMOIDRAULICA S.R.L.,0.0,0.0,0.0
NTI-NKE S.P.A.,0.0,0.0,0.0
MULTITEL PAGLIERO S.P.A.,0.0,0.0,0.0
MIRETTI S.R.L.,0.0,0.0,0.0
MERIDIANI S.R.L.,0.0,0.0,0.0
MARTE SPA,0.0,0.0,0.0
LOUIS VUITTON ITALIA S.R.L.,0.0,0.0,0.0
CENTRO CARAVANS BARASSI S.R.L.,0.0,0.0,0.0
INDUSTRIA BRIANTEA FERRAMENTA MINUTERIE DI FUMAGALLI SRL,0.0,0.0,0.0
IMPRESA EDILE MARIANI S.R.L.,0.0,0.0,0.0
GIORGIO COLLECTION S.R.L.,0.0,0.0,0.0
FRASCOLLA S.R.L.,0.0,0.0,0.0
ECOLAB HOLDING ITALY S.R.L.,0.0,0.0,0.0
COSMO HOTEL S.P.A.,0.0,0.0,0.0
CERAMICHE FRATTINI SRL,0.0,0.0,0.0
HOSES TECHNOLOGY S.P.A.,0.0,0.0,0.0
