Company,weighted_score,l_score,w_score,ESG,GENDER EQUALITY,VOLLEYBALL
COCA-COLA ITALIA SRL,2.29,3.0,0.64,0.38,1.48,0.32
ITALMATCH CHEMICALS S.P.A.,2.24,2.2,2.32,0.56,0.0,0.72
WOLTERS KLUWER ITALIA S.R.L.,1.39,1.39,1.39,1.55,0.28,0.13
VITERRA ITALY S.R.L.,1.11,1.41,0.41,1.71,0.0,0.14
ZANOTTA S.P.A.,1.09,1.54,0.04,2.0,0.0,0.0
RHENUS LOGISTICS S.P.A.,1.04,0.87,1.42,0.19,0.25,0.82
REPOWER ITALIA S.P.A.,1.01,1.16,0.68,1.52,0.0,0.24
BRACCO IMAGING S.P.A.,0.99,0.64,1.8,1.55,0.32,0.12
ENI PLENITUDE S.P.A. SOCIETA' BENEFIT,0.97,1.0,0.9,1.25,0.06,0.35
MEDIAMARKET SPA,0.93,1.09,0.56,0.11,0.98,0.62
JUNGHEINRICH ITALIANA SRL,0.92,0.87,1.05,0.76,0.34,0.51
SNAITECH S.P.A.,0.92,0.39,2.14,0.56,0.0,0.72
"EY S.P.A., PER ESTESO ANCHE ERNST & YOUNG S.P.A.",0.91,0.91,0.9,1.14,0.58,0.24
DS SMITH HOLDING ITALIA S.P.A.,0.9,0.0,3.0,1.87,0.04,0.05
"IN SPORT S.R.L. SOCIETA' SPORTIVA DILETTANTISTICA IN BREVE DENO MINATA IN
SPORT S.R.L. S.S.D.",0.9,0.0,3.0,0.0,0.05,0.98
HENKEL ITALIA S.R.L.,0.88,1.0,0.6,1.43,0.74,0.04
SAINT-GOBAIN ITALIA S.P.A.,0.88,0.29,2.25,1.57,0.0,0.22
IKEA ITALIA RETAIL S.R.L.,0.87,0.8,1.05,1.34,0.68,0.1
S.A.P. ITALIA SISTEMI APPLICAZIONI PRODOTTI IN DATA PROCESSING S.P.A.,0.87,1.13,0.26,0.11,0.73,0.7
PIRELLI TYRE SPA,0.82,0.94,0.52,0.62,0.05,0.67
"INFRASTRUTTURE WIRELESS ITALIANE S.P.A. O, IN FORMA ABBREVIATA, INWIT S.P.A.",0.81,0.86,0.71,1.61,0.0,0.2
DECATHLON PRODUZIONE ITALIA S.R.L.,0.78,0.68,1.01,0.04,0.0,0.98
ITT ITALIA S.R.L.,0.78,1.04,0.15,1.11,0.0,0.44
SORGENIA PUGLIA S.P.A.,0.78,0.9,0.49,1.08,0.46,0.31
METRO ITALIA S.P.A.,0.76,0.94,0.34,1.0,0.41,0.36
SAIF S.P.A.,0.75,0.0,2.51,1.41,0.0,0.29
EMERSON PROCESS MANAGEMENT S.R.L.,0.75,0.78,0.68,1.42,0.2,0.22
AXSE SRL,0.72,0.0,2.4,0.74,0.0,0.63
ADAMANT BIONRG S.R.L.,0.72,0.65,0.86,1.07,0.0,0.46
ZAMBON S.P.A.,0.66,0.9,0.11,0.12,1.73,0.37
ABB S.P.A.,0.66,0.62,0.75,0.82,0.0,0.59
WIND TRE S.P.A.,0.64,0.9,0.04,0.28,0.57,0.67
PIAZZA ITALIA S.P.A.,0.64,0.77,0.34,0.09,0.6,0.76
PREGIS S.P.A.,0.64,0.19,1.69,1.7,0.06,0.13
SISAL ENTERTAINMENT S.P.A.,0.62,0.74,0.34,0.81,0.86,0.31
SAGAM S.P.A.,0.6,0.0,1.99,0.0,0.0,1.0
FACEBOOK ITALY S.R.L.,0.59,0.78,0.15,0.17,0.2,0.85
2I RETE GAS S.P.A.,0.59,0.64,0.49,0.95,0.0,0.53
SALMOIRAGHI S.P.A.,0.59,0.0,1.95,0.89,0.0,0.56
EASTMAN ITALIA S.R.L.,0.57,0.0,1.91,1.74,0.0,0.13
SEPHORA ITALIA S.R.L.,0.57,0.75,0.15,0.14,0.0,0.93
FOMAS HOP S.P.A.,0.57,0.78,0.08,0.45,0.0,0.77
MET ENERGIA ITALIA S.P.A.,0.57,0.64,0.41,1.03,0.35,0.37
BORGWARNER MORSE SYSTEMS ITALY S.R.L.,0.56,0.72,0.19,0.68,0.66,0.44
INTERCOS S.P.A.,0.56,0.67,0.3,1.19,0.24,0.32
ENI REWIND S.P.A.,0.56,0.23,1.31,1.6,0.25,0.11
MONDADORI LIBRI S.P.A.,0.55,0.0,1.84,1.67,0.27,0.08
AMSA AZIENDA MILANESE SERVIZI AMBIENTALI SPA IN FORMA ABBREVIATA AMSA SPA,0.55,0.62,0.38,1.75,0.16,0.07
A2A ENERGIEFUTURE S.P.A.,0.54,0.42,0.82,1.14,0.21,0.36
STILSCREEN - S.R.L.,0.54,0.0,1.8,0.36,0.0,0.82
ALDIERI AUTOTRASPORTI S.P.A.,0.54,0.0,1.8,0.42,0.0,0.79
BRUGOLA COMMERCIALE SPA,0.54,0.3,1.09,1.11,0.16,0.39
MARELLI SUSPENSION SYSTEMS ITALY S.P.A.,0.54,0.46,0.71,0.58,0.26,0.62
INSTRUMENTATION LABORATORY S.P.A.,0.54,0.65,0.26,0.8,0.2,0.53
ASTRAZENECA S.P.A.,0.54,0.65,0.26,0.46,0.66,0.55
L'OREAL ITALIA S.P.A.,0.53,0.3,1.05,0.76,1.35,0.17
DUSSMANN SERVICE S.R.L.,0.52,0.13,1.42,1.44,0.32,0.18
"PRENATAL RETAIL GROUP S.P.A. OVVERO, IN ABBREVIATO, PNT RETAIL GR OUP S.P.A. O PRG S.P.A.",0.52,0.0,1.72,1.46,0.35,0.15
MONDELEZ ITALIA S.R.L.,0.51,0.49,0.56,0.8,0.0,0.6
DOUGLAS ITALIA S.P.A.,0.51,0.35,0.9,0.65,0.97,0.35
TOTALENERGIES MARKETING ITALIA S.P.A.,0.51,0.42,0.71,0.87,0.2,0.5
POMELLATO S.P.A.,0.51,0.0,1.69,0.55,1.58,0.2
F.LLI MONTORFANO S.R.L.,0.51,0.0,1.69,0.04,0.0,0.98
SCHENKER ITALIANA SPA,0.5,0.17,1.27,0.93,0.0,0.53
FINCONS S.P.A.,0.5,0.38,0.79,0.82,0.86,0.3
DHL EXPRESS (ITALY) S.R.L.,0.5,0.68,0.08,0.32,0.0,0.84
EDISON S.P.A.,0.5,0.41,0.71,1.49,0.05,0.24
CHEMOURS ITALY S.R.L.,0.49,0.0,1.65,1.48,0.0,0.26
FRATELLI GIACOMEL S.P.A.,0.49,0.55,0.34,0.61,0.0,0.7
DECATHLON ITALIA S.R.L.,0.48,0.0,1.61,0.07,0.0,0.97
GENCOS110 S.P.A.,0.48,0.0,1.61,1.88,0.0,0.06
DATAMATIC S.P.A.,0.48,0.68,0.0,2.0,0.0,0.0
HEWLETT-PACKARD ITALIANA S.R.L.,0.48,0.68,0.0,0.0,2.25,0.25
EI TOWERS S.P.A.,0.48,0.55,0.3,0.35,0.0,0.83
"SNAM RETE GAS S.P.A. O, IN FORMA ABBREVIATA SNAM RG S.P.A.",0.47,0.43,0.56,0.76,0.21,0.55
TERMINALE GNL ADRIATICO SOCIETA' A RESPONSABILITA' LIMITATA IN FORMA ABBREVIATA TERMINALE GNL ADRIATICO S.R.L.,0.47,0.0,1.57,1.08,0.0,0.46
FAEL S.P.A. O FAELLUCE S.P.A.,0.47,0.0,1.57,1.75,0.0,0.12
STENA METALL HOLDING S.R.L.,0.47,0.0,1.57,1.91,0.0,0.04
RHENUS AIR & OCEAN SRL,0.47,0.0,1.57,0.19,0.0,0.9
MONDADORI RETAIL S.P.A.,0.47,0.0,1.57,1.63,0.36,0.07
TETRA PAK FOOD ENGINEERING S.P.A.,0.47,0.0,1.57,1.95,0.0,0.03
ACCIAIERIA ARVEDI S.P.A.,0.47,0.3,0.86,1.36,0.0,0.32
AIR LIQUIDE ITALIA PRODUZIONE SRL,0.47,0.32,0.82,0.61,0.6,0.5
FIBERCOP S.P.A.,0.47,0.09,1.35,0.79,0.11,0.57
WANHUA BORSODCHEM ITALIA SRL,0.46,0.0,1.54,1.76,0.0,0.12
DSV S.P.A.,0.46,0.45,0.49,0.54,0.0,0.73
SMURFIT KAPPA ITALIA S.P.A.,0.46,0.3,0.82,1.74,0.04,0.12
STOCCAGGI GAS ITALIA SPA O IN FORMA ABBREVIATA STOGIT SPA,0.46,0.46,0.45,0.49,0.0,0.75
VERSALIS S.P.A.,0.46,0.33,0.75,1.45,0.0,0.28
SUN CHEMICAL GROUP S.P.A.,0.45,0.0,1.5,1.84,0.0,0.08
SENNDER ITALIA S.R.L.,0.45,0.0,1.5,0.69,0.0,0.65
INTERNATIONAL PAPER ITALIA S.R.L.,0.45,0.0,1.5,2.0,0.0,0.0
WEBUILD S.P.A.,0.45,0.46,0.41,0.9,0.22,0.48
GRUPPO SAPIO (1),0.44,0.38,0.6,1.04,0.09,0.45
SALCHI METALCOAT S.R.L.,0.44,0.0,1.46,1.66,0.25,0.08
SIEMENS ENERGY S.R.L.,0.43,0.0,1.42,1.09,0.0,0.45
BRIANZA PLASTICA SPA,0.43,0.0,1.42,1.76,0.0,0.12
A.P.S. AROSIO S.P.A.,0.43,0.61,0.0,2.0,0.0,0.0
ADIDAS ITALY S.P.A.,0.42,0.36,0.56,0.09,0.0,0.95
EDENRED ITALIA S.R.L.,0.42,0.07,1.24,1.18,0.0,0.41
CANON ITALIA S.P.A.,0.42,0.52,0.19,0.87,0.0,0.56
SPREAFICO FRANCESCO E F.LLI S.P.A.,0.42,0.23,0.86,1.83,0.11,0.05
MM S.P.A.,0.42,0.0,1.39,1.2,0.0,0.4
BRANDART S.P.A.,0.42,0.0,1.39,1.59,0.27,0.12
PROJECT AUTOMATION S.P.A.,0.42,0.0,1.39,0.61,0.09,0.67
ALFA LAVAL ITALY S.R.L.,0.41,0.48,0.26,1.24,0.0,0.38
E.ON ENERGIA S.P.A.,0.41,0.48,0.26,1.04,0.0,0.48
GILEAD SCIENCES S.R.L.,0.41,0.39,0.45,1.19,0.0,0.41
RAIL CARGO LOGISTICS - ITALY S.R.L.,0.4,0.0,1.35,0.26,0.0,0.87
ARROW ELECTRONICS ITALIA S.R.L.,0.4,0.45,0.3,0.78,0.0,0.61
MICROSOFT S.R.L.,0.4,0.23,0.79,1.56,0.0,0.22
ENGIE ITALIA SPA,0.4,0.41,0.38,1.28,0.47,0.2
ARIENTI AUTOGRU' S.R.L.,0.39,0.0,1.31,0.0,0.0,1.0
TATUUS RACING S.P.A.,0.39,0.0,1.31,0.0,0.04,0.99
RAIL CARGO CARRIER - ITALY S.R.L.,0.39,0.0,1.31,0.25,0.0,0.88
SPIRAX - SARCO S.R.L. *,0.38,0.0,1.27,1.56,0.54,0.04
PRELIOS CREDIT SOLUTIONS S.P.A.,0.38,0.0,1.27,1.91,0.0,0.05
SOLAREDGE TECHNOLOGIES ITALY S.R.L.,0.38,0.0,1.27,1.71,0.0,0.14
FAI SERVICE SOCIETA' COOPERATIVA,0.38,0.0,1.27,0.0,0.0,1.0
NESTLE' ITALIANA S.P.A. IN FORMA ABBREVIATA NE.IT. S.P.A.,0.38,0.3,0.56,1.09,0.09,0.42
KUEHNE + NAGEL S.R.L.,0.38,0.16,0.9,0.64,0.0,0.68
INNOMOTICS SRL,0.38,0.17,0.86,0.73,0.07,0.61
KIA ITALIA S.R.L.,0.38,0.2,0.79,0.55,0.0,0.72
TECNIMONT S.P.A.,0.38,0.36,0.41,1.23,0.0,0.38
CO.GE.FIN. S.P.A.,0.37,0.0,1.24,0.84,0.0,0.58
ENIPOWER MANTOVA S.P.A.,0.37,0.0,1.24,1.47,0.0,0.26
ROBERT BOSCH S.P.A.,0.37,0.0,1.24,1.87,0.0,0.07
GEZE ITALIA S.R.L.,0.36,0.0,1.2,1.28,0.0,0.36
C.P.C. INOX S.P.A.,0.36,0.0,1.2,1.71,0.0,0.15
COLUSSI S.P.A.,0.36,0.0,1.2,1.59,0.0,0.2
CHG-MERIDIAN ITALIA SPA,0.36,0.0,1.2,1.44,0.61,0.08
PELLEGRINI S.P.A.,0.36,0.0,1.2,1.53,0.71,0.0
SANDVIK ITALIA S.P.A.,0.36,0.0,1.2,2.0,0.0,0.0
CP COLOMBO SRL,0.36,0.0,1.2,1.34,0.0,0.33
A2A ENERGIA S.P.A.,0.36,0.0,1.2,1.26,0.0,0.37
ENISERVIZI S.P.A.,0.36,0.0,1.2,1.42,0.05,0.28
MERCITALIA INTERMODAL S.P.A.,0.36,0.0,1.2,0.9,0.0,0.55
SAPIO PRODUZIONE IDROGENO OSSIGENO SRL,0.36,0.17,0.79,1.41,0.2,0.23
SASOL ITALY S.P.A.,0.35,0.0,1.16,1.71,0.0,0.15
URSA ITALIA S.R.L.,0.35,0.0,1.16,1.95,0.0,0.03
LEGNANO TEKNOELECTRIC COMPANY SPA,0.35,0.0,1.16,2.0,0.0,0.0
TROCELLEN ITALIA S.P.A.,0.35,0.0,1.16,1.1,0.0,0.45
BRENNTAG SPA,0.35,0.0,1.16,1.65,0.0,0.18
EY ADVISORY S.P.A.,0.35,0.0,1.16,1.62,0.19,0.13
IBM ITALIA S.P.A.,0.34,0.38,0.26,1.01,0.18,0.43
GETOIL S.R.L.,0.34,0.0,1.12,1.06,0.0,0.47
MARELLI EUROPE S.P.A.,0.34,0.0,1.12,0.89,0.0,0.56
MALBERTI HOLDING S.P.A.,0.34,0.0,1.12,0.75,0.0,0.62
ERICA SRL,0.34,0.0,1.12,1.15,0.0,0.42
CALCESTRUZZI S.P.A.,0.34,0.0,1.12,1.48,0.0,0.26
ENIPOWER SPA,0.34,0.0,1.12,1.44,0.0,0.28
BAYER S.P.A.,0.33,0.39,0.19,0.73,0.8,0.37
KONE S.P.A.,0.33,0.1,0.86,1.15,0.31,0.32
EVOLVERE S.P.A. SOCIETA' BENEFIT,0.33,0.0,1.09,1.65,0.0,0.18
CFG OVERSEAS SRL,0.33,0.0,1.09,0.05,0.46,0.82
COTY ITALIA S.R.L.,0.33,0.0,1.09,0.88,0.0,0.56
GI GROUP S.P.A.,0.33,0.0,1.09,0.27,1.61,0.33
GOLDEN GOOSE S.P.A.,0.33,0.0,1.09,0.18,1.52,0.4
EDISON NEXT GOVERNMENT S.R.L.,0.33,0.0,1.09,1.72,0.0,0.14
C.O.I.M. S.P.A. - CHIMICA ORGANICA INDUSTRIALE MILANESE,0.33,0.0,1.09,1.45,0.0,0.28
COCA-COLA HBC ITALIA S.R.L.,0.32,0.36,0.22,0.48,0.0,0.76
ACCENTURE S.P.A.,0.32,0.29,0.38,1.43,0.37,0.16
EARTH ENERGY S.R.L.,0.32,0.0,1.05,1.0,0.0,0.5
VAILLANT GROUP ITALIA S.P.A.,0.32,0.0,1.05,1.38,0.0,0.31
NAMEDSPORT S.R.L.,0.32,0.0,1.05,0.0,0.0,1.0
TOSCA ITALY S.P.A.,0.32,0.0,1.05,1.51,0.39,0.11
MONCLER S.P.A.,0.32,0.0,1.05,1.71,0.0,0.14
FIVES ITAS S.P.A.,0.32,0.0,1.05,0.47,0.0,0.77
NESPRESSO ITALIANA S.P.A. - SOCIETA' BENEFIT,0.32,0.0,1.05,1.71,0.17,0.09
3M ITALIA S.R.L.,0.31,0.45,0.0,0.0,0.0,1.0
HYDRO EXTRUSION ITALY S.R.L.,0.31,0.07,0.86,1.71,0.0,0.14
SORGENIA S.P.A.,0.31,0.09,0.82,1.35,0.31,0.22
LGD SOCIETA' COOPERATIVA,0.3,0.0,1.01,0.44,0.0,0.78
TERNINOX S.P.A.,0.3,0.0,1.01,1.89,0.0,0.05
RAVAGRICOLA S.P.A.,0.3,0.0,1.01,0.75,0.0,0.62
FALCK NEXT ENERGY S.R.L.,0.3,0.0,1.01,1.72,0.21,0.07
SETOA ITALIA S.P.A.,0.3,0.0,1.01,0.14,0.0,0.93
DANONE NUTRICIA SPA SOCIETA' BENEFIT IN FORMA ABBREVIATA D.N. SPA O DANONE N. SPA S. BENEFIT,0.3,0.0,1.01,1.69,0.0,0.15
TAO AMBIENTE S.R.L.,0.3,0.0,1.01,1.09,0.0,0.45
ADECCO ITALIA SPA,0.3,0.07,0.82,1.71,0.32,0.04
SIEMENS S.P.A.,0.3,0.23,0.45,0.42,0.11,0.75
CANALI HOLDING SOCIETA' PER AZIONI,0.3,0.23,0.45,0.31,0.0,0.84
HP ITALY S.R.L.,0.3,0.41,0.04,1.27,0.0,0.36
CAP HOLDING S.P.A.,0.29,0.0,0.98,1.23,0.0,0.38
KPMG ADVISORY S.P.A.,0.29,0.0,0.98,1.93,0.0,0.03
RENEWABLE DISPATCHING S.R.L.,0.29,0.0,0.98,1.89,0.0,0.06
EDIM S.P.A.,0.29,0.0,0.98,1.64,0.27,0.09
"""ITALCEMENTI"" FABBRICHE RIUNITE CEMENTO - SOCIETA' PER AZIONI - BERGAMO IN FORMA ABBREVIATA ITALCEMENTI S.P.A.",0.29,0.0,0.98,1.04,0.0,0.48
AVIENT COLORANTS ITALY S.R.L.,0.29,0.0,0.98,1.66,0.22,0.1
PHILIP MORRIS MANUFACTURING & TECHNOLOGY BOLOGNA S.P.A,0.29,0.0,0.98,1.45,0.09,0.24
SKY ITALIA - S.R.L.,0.29,0.0,0.98,0.01,0.0,0.99
OPEN FIBER S.P.A.,0.29,0.33,0.19,0.93,0.0,0.53
RANDSTAD ITALIA S.P.A.,0.29,0.22,0.45,0.93,0.0,0.53
SABIC ITALIA S.R.L.,0.29,0.23,0.41,0.82,0.0,0.59
PRIMARK ITALY S.R.L.,0.28,0.29,0.26,0.51,0.0,0.75
CEVA LOGISTICS ITALIA S.R.L.,0.28,0.0,0.94,0.16,0.0,0.92
DNV BUSINESS ASSURANCE ITALY S.R.L.,0.28,0.0,0.94,0.88,0.53,0.38
STUCCHI SERVIZI ECOLOGICI SRL,0.28,0.0,0.94,1.02,0.0,0.49
ALPHA TRADING S.P.A.,0.28,0.0,0.94,1.33,0.0,0.33
SEA S.P.A.,0.28,0.0,0.94,1.34,0.16,0.28
OUTOKUMPU S.R.L.,0.28,0.0,0.94,1.57,0.0,0.22
IM BIOFUEL ITALY S.R.L.,0.28,0.0,0.94,0.89,0.0,0.56
RENO DE MEDICI SPA,0.28,0.0,0.94,1.42,0.0,0.29
EDISON ENERGIA S.P.A.,0.28,0.0,0.94,1.76,0.0,0.12
A2A AIRPORT ENERGY S.P.A.,0.28,0.0,0.94,1.44,0.0,0.28
GEORG FISCHER S.P.A.,0.28,0.0,0.94,1.53,0.08,0.21
CERVED GROUP S.P.A.,0.27,0.0,0.9,1.67,0.0,0.17
LA.M.PLAST DI ALDO REDAELLI & C SRL,0.27,0.0,0.9,1.56,0.0,0.22
SEALED AIR S.R.L.,0.27,0.0,0.9,1.68,0.0,0.16
WUERTH ELEKTRONIK ITALIA S.R.L.,0.27,0.0,0.9,1.22,0.0,0.39
DELICATESSE SPA,0.27,0.0,0.9,1.23,0.0,0.38
TRILLIUM PUMPS ITALY S.P.A. *,0.26,0.13,0.56,1.81,0.0,0.1
BEIERSDORF S.P.A.,0.26,0.0,0.86,1.04,0.8,0.21
QVC ITALIA S.R.L.,0.26,0.0,0.86,0.0,0.0,1.0
MULTIVENDOR SERVICE S.R.L. (1),0.26,0.0,0.86,0.0,2.57,0.14
ENI ANGOLA S.P.A.,0.26,0.0,0.86,1.35,0.38,0.2
GAVIOTA SIMBAC S.P.A.,0.26,0.0,0.86,0.93,1.6,0.0
ILIAD ITALIA S.P.A.,0.26,0.0,0.86,1.75,0.0,0.12
NLINE SHIPPING SRL,0.26,0.0,0.86,0.15,0.0,0.93
FSI S.R.L.,0.26,0.0,0.86,1.23,0.0,0.39
LANXESS S.R.L.,0.26,0.0,0.86,1.72,0.0,0.14
JINDAL NYLON FILMS S.R.L. (1),0.26,0.0,0.86,2.0,0.0,0.0
ABBOTT MEDICAL ITALIA S.R.L.,0.26,0.0,0.86,0.9,1.24,0.14
ALPIQ ENERGIA ITALIA S.P.A.,0.25,0.06,0.71,1.02,0.0,0.49
VENTANA SERRA S.P.A.,0.25,0.07,0.68,0.14,0.16,0.88
SOCIETA' PER AZIONI ESERCIZI AEROPORTUALI S.E.A.,0.25,0.0,0.82,1.1,0.07,0.43
SNAM S.P.A.,0.25,0.0,0.82,0.82,0.0,0.59
SYSTEM ENGINEERING SOLUTIONS S.R.L.,0.25,0.0,0.82,0.15,2.0,0.26
SORGENIA POWER S.P.A.,0.25,0.0,0.82,1.37,0.33,0.2
SOLENIS ITALIA S.R.L.,0.25,0.0,0.82,1.88,0.0,0.06
THE BOSTON CONSULTING GROUP S.R.L.,0.25,0.0,0.82,1.23,0.14,0.34
F.S.A. S.R.L.,0.25,0.0,0.82,0.17,0.0,0.92
BUZZI S.P.A.,0.25,0.0,0.82,1.52,0.0,0.24
SPECIAL FLANGES SOCIETA' PER AZIONI **,0.25,0.0,0.82,1.86,0.0,0.07
BOSCH REXROTH S.P.A.,0.25,0.0,0.82,0.52,0.0,0.74
BASF COATINGS SERVICES ITALY S.R.L.,0.25,0.0,0.82,1.7,0.0,0.15
VOLVO CONSTRUCTION EQUIPMENT ITALIA S.P.A.,0.25,0.0,0.82,1.72,0.0,0.14
ARKEMA S.R.L.,0.25,0.0,0.82,0.9,0.13,0.51
BMW ITALIA SPA,0.24,0.2,0.34,0.9,0.0,0.55
JAKALA S.P.A. SOCIETA' BENEFIT,0.24,0.0,0.79,1.55,0.11,0.19
CEM AMBIENTE S.P.A.,0.24,0.0,0.79,1.13,0.0,0.43
SNF ITALIA S.R.L.,0.24,0.0,0.79,1.91,0.0,0.05
AZIENDA TRASPORTI MILANESI S.P.A. IN FORMA ABBREVIATA A.T.M. S .P.A.,0.24,0.0,0.79,0.06,0.0,0.97
BASELL POLIOLEFINE ITALIA S.R.L.,0.24,0.0,0.79,1.56,0.0,0.22
EDISON RINNOVABILI S.P.A.,0.24,0.0,0.79,1.62,0.0,0.19
SANOFI S.R.L.,0.24,0.0,0.79,1.5,0.0,0.25
DNV MARITIME ITALY S.R.L.,0.24,0.0,0.79,1.17,0.0,0.42
AIR LIQUIDE ITALIA SERVICE S.R.L.,0.24,0.0,0.79,0.75,0.59,0.43
GNOSIS S.P.A.,0.24,0.0,0.79,0.66,1.6,0.14
